run_name,DLNTDR_1,DLNNDR_1,KY,NU_EE,MASS_1,DLNTDR_2,DLNNDR_2,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,SHIFT,S_KAPPA,S_DELTA,Q_electron,Q_ion,split
2019_03-isotope_t_a0_filtered,3.0,1.0,0.8205000162124634,0.05,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,16.439484,46.618996,train
2019_03-isotope_t_a1_filtered,3.0,1.0,0.8205000162124634,0.1,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.242244,41.00449,train
2019_03-isotope_t_a2_filtered,3.0,1.0,0.8205000162124634,0.167,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.137946,38.876789,train
2019_03-isotope_t_a3_filtered,3.0,1.0,0.8205000162124634,0.278,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.899069,33.962315,train
2019_03-isotope_t_a4_filtered,3.0,1.0,0.8205000162124634,0.464,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.409151,27.587427,train
2019_03-isotope_t_a5_filtered,3.0,1.0,0.8205000162124634,0.774,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,10.487088,26.429455,train
2019_03-isotope_t_a6_filtered,3.0,1.0,0.8205000162124634,1.0,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,9.568548,25.988514,train
2019_03-isotope_t_an0_filtered,3.0,0.0,0.8205000162124634,0.1,1.5,3.0,0.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,7.574078,27.630985,train
2019_03-isotope_t_an1_filtered,3.0,0.5,0.8205000162124634,0.1,1.5,3.0,0.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.59278,37.650227,train
2019_03-isotope_t_an2_filtered,3.0,1.0,0.8205000162124634,0.1,1.5,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.420423,38.407997,train
2019_03-isotope_t_an3_filtered,3.0,1.5,0.8205000162124634,0.1,1.5,3.0,1.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,16.971458,35.270935,train
2019_03-isotope_t_an4_filtered,3.0,2.0,0.8205000162124634,0.1,1.5,3.0,2.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,17.782433,26.869516,train
2019_03-isotope_t_an5_filtered,3.0,2.5,0.8205000162124634,0.1,1.5,3.0,2.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,23.411119,25.273146,ood
2019_03-isotope_t_an6_filtered,3.0,3.0,0.8205000162124634,0.1,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,34.695992,31.035368,train
