run_name,DLNTDR_1,DLNNDR_1,KY,NU_EE,MASS_1,DLNTDR_2,DLNNDR_2,RMAJ,RMIN,Q,S,KAPPA,DELTA,GAMMA_E,BETAE_UNIT,MACH,SHIFT,S_KAPPA,S_DELTA,Q_electron,Q_ion,split
2019_03-isotope_t_an3_filtered,3.0,1.5,0.8205000162124634,0.1,1.5,3.0,1.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,16.982873916625977,35.29094314575195,train
2019_03-isotope_t_an4_filtered,3.0,2.0,0.8205000162124634,0.1,1.5,3.0,2.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,17.773717880249023,26.85526657104492,train
2019_03-isotope_t_an5_filtered,3.0,2.5,0.8205000162124634,0.1,1.5,3.0,2.5,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,23.38819122314453,25.2490177154541,ood
2019_03-isotope_t_an6_filtered,3.0,3.0,0.8205000162124634,0.1,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,34.68842315673828,31.027944564819336,train
2019_03-isotope_t_at0_filtered,1.25,1.0,0.8205000162124634,0.1,1.5,1.25,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.9442481994628906,1.8397526741027832,train
2019_03-isotope_t_at1_filtered,1.5,1.0,0.8205000162124634,0.1,1.5,1.5,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,2.689354181289673,5.835423469543457,train
2019_03-isotope_t_at2_filtered,2.0,1.0,0.8205000162124634,0.1,1.5,2.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,5.959475517272949,14.479002952575684,train
2019_03-isotope_t_at3_filtered,2.5,1.0,0.8205000162124634,0.1,1.5,2.5,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,10.883451461791992,28.288057327270508,train
2019_03-isotope_t_at5_filtered,3.5,1.0,0.8205000162124634,0.1,1.5,3.5,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,20.52007484436035,53.77228164672852,train
2019_03-isotope_t_b0_filtered,3.0,3.0,0.8205000162124634,0.05,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,41.99365997314453,38.08340072631836,train
2019_03-isotope_t_b2_filtered,3.0,3.0,0.8205000162124634,0.167,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,24.90262985229492,21.753820419311523,train
2019_03-isotope_t_b3_filtered,3.0,3.0,0.8205000162124634,0.278,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,19.52164459228516,16.72689437866211,ood
2019_03-isotope_t_b4_filtered,3.0,3.0,0.8205000162124634,0.464,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.556473731994627,11.35433864593506,train
2019_03-isotope_t_b5_filtered,3.0,3.0,0.8205000162124634,0.774,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,7.552877426147461,6.204041957855225,ood
2019_03-isotope_t_b6_filtered,3.0,3.0,0.8205000162124634,1.0,1.5,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,3.7980921268463135,3.263007402420044,train
2019_05-garyshift_stdS00G00_high_filtered,3.0,1.0,2.07699990272522,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.26654815673828,38.928443908691406,train
2019_05-garyshift_stdS00G00_low_filtered,3.0,1.0,1.0049999952316284,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.077741622924805,41.42423248291016,train
2019_05-garyshift_stdS00G00_med_filtered,3.0,1.0,1.5410000085830688,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.779017448425291,39.57398223876953,train
2019_10-exb_2res_a1_filtered,3.0,1.0,1.5410000085830688,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.476903915405272,38.84636688232422,train
2019_10-exb_2res_b1_filtered,3.0,1.0,1.5410000085830688,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.779766082763672,39.14381790161133,train
2020_08-nuei_lor_alor0_filtered,3.0,1.0,1.0049999952316284,0.01,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.429364204406738,38.44145584106445,train
2020_08-nuei_lor_alor1_filtered,3.0,1.0,1.0049999952316284,0.02,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.364690780639648,43.28921508789063,train
2020_08-nuei_lor_alor2_filtered,3.0,1.0,1.0049999952316284,0.05,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.02735710144043,40.0582389831543,train
2020_08-nuei_lor_alor3_filtered,3.0,1.0,1.0049999952316284,0.1,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.391550064086914,35.212867736816406,train
2020_08-nuei_lor_alor3_hnorm_filtered,3.0,1.0,0.7106422781944275,0.07071067,2.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,19.41112518310547,49.16920852661133,ood
2020_08-nuei_lor_alor4_filtered,3.0,1.0,1.0049999952316284,0.167,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,14.148274421691896,35.15349197387695,train
2020_08-nuei_lor_alor5_filtered,3.0,1.0,1.0049999952316284,0.278,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,13.891798973083496,33.28017044067383,train
2020_08-nuei_lor_alor6_filtered,3.0,1.0,1.0049999952316284,0.464,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.97219944000244,28.2262020111084,train
2020_08-nuei_lor_alor7_filtered,3.0,1.0,1.0049999952316284,0.774,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,11.53986930847168,26.638574600219727,train
2020_08-nuei_lor_alor8_filtered,3.0,1.0,1.0049999952316284,1.0,1.0,3.0,1.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,9.93997287750244,23.6745548248291,train
2020_08-nuei_lor_blor0_filtered,3.0,3.0,1.0049999952316284,0.01,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,65.2157974243164,60.93103790283203,train
2020_08-nuei_lor_blor1_filtered,3.0,3.0,1.0049999952316284,0.02,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,57.4438705444336,53.65131759643555,train
2020_08-nuei_lor_blor2_filtered,3.0,3.0,1.0049999952316284,0.05,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,49.38896942138672,45.544708251953125,train
2020_08-nuei_lor_blor3_filtered,3.0,3.0,1.0049999952316284,0.1,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,39.529205322265625,35.994285583496094,train
2020_08-nuei_lor_blor4_filtered,3.0,3.0,1.0049999952316284,0.167,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,33.17695617675781,29.56157684326172,train
2020_08-nuei_lor_blor5_filtered,3.0,3.0,1.0049999952316284,0.278,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,28.838653564453125,25.20786476135254,train
2020_08-nuei_lor_blor6_filtered,3.0,3.0,1.0049999952316284,0.464,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,22.633197784423828,19.04194450378418,train
2020_08-nuei_lor_blor7_filtered,3.0,3.0,1.0049999952316284,0.774,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,17.521631240844727,14.200385093688965,train
2020_08-nuei_lor_blor8_filtered,3.0,3.0,1.0049999952316284,1.0,1.0,3.0,3.0,3.0,0.5,2.0,1.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,15.213340759277344,12.091520309448242,train
